iter	Logloss
0	0.5786022737
1	0.4939083597
2	0.4350193282
3	0.393007816
4	0.3585711784
5	0.3346305869
6	0.3131536973
7	0.293096166
8	0.2764129923
9	0.2606073464
10	0.2509043284
11	0.2437545993
12	0.2370877594
13	0.233020258
14	0.2290509494
15	0.2265580668
16	0.224560622
17	0.2217939196
18	0.2185949243
19	0.2157353004
20	0.212933709
21	0.2117191578
22	0.210574267
23	0.209503012
24	0.2076026953
25	0.2062588783
26	0.205010519
27	0.2038296731
28	0.202224245
29	0.2014061792
30	0.2003949021
31	0.1996841651
32	0.1986071829
33	0.1978978254
34	0.1972227405
35	0.1964176086
36	0.195603374
37	0.1950012701
38	0.1939765559
39	0.1932727454
40	0.1926023578
41	0.1917149211
42	0.1911366607
43	0.1904766653
44	0.1897991172
45	0.189207621
46	0.1888957144
47	0.1881043049
48	0.1876346671
49	0.1868974377
50	0.1861952936
51	0.1855824776
52	0.1852117722
53	0.18463608
54	0.1838662765
55	0.1831607105
56	0.1826600811
57	0.1821840491
58	0.1818327387
59	0.181160178
60	0.180570873
61	0.1802627621
62	0.1796208549
63	0.1790425335
64	0.1785245297
65	0.1781055831
66	0.1774745561
67	0.1768337392
68	0.1762677581
69	0.1755907432
70	0.1750998087
71	0.1746356629
72	0.1742685789
73	0.1737972723
74	0.1729187054
75	0.1726186494
76	0.1720957086
77	0.1718179537
78	0.1712833185
79	0.1710172906
80	0.1707438189
81	0.170452832
82	0.1699833294
83	0.1694490107
84	0.1690037653
85	0.1686452177
86	0.168127906
87	0.1678197791
88	0.1674468501
89	0.1668436615
90	0.1665379333
91	0.1660914325
92	0.165706771
93	0.1653966594
94	0.1650263547
95	0.1645287489
96	0.1639699933
97	0.1638494473
98	0.1634675466
99	0.1632383473
100	0.1629814829
101	0.1625149242
102	0.1621584003
103	0.1617811917
104	0.161536324
105	0.1612160589
106	0.1608340245
107	0.1604062075
108	0.1596814032
109	0.1595043544
110	0.1590784709
111	0.1588038113
112	0.1585141259
113	0.1581697311
114	0.1579108371
115	0.1576900736
116	0.157059142
117	0.1565930754
118	0.1562855217
119	0.1560578404
120	0.15585372
121	0.1555148267
122	0.1552594408
123	0.1549765906
124	0.1546848475
125	0.1543847814
126	0.1540147602
127	0.1537757493
128	0.1535807366
129	0.1533394772
130	0.1531762631
131	0.1529837932
132	0.1526124379
133	0.1522296546
134	0.1518938144
135	0.1515175517
136	0.1513077009
137	0.1510455381
138	0.1508747465
139	0.1506398794
140	0.1503973355
141	0.1502053178
142	0.1497522688
143	0.1494964098
144	0.1492456653
145	0.1490450765
146	0.1488480333
147	0.1484639529
148	0.1482379147
149	0.147884035
150	0.1476206755
151	0.1474093703
152	0.147269187
153	0.1469889702
154	0.1467424288
155	0.1464303459
156	0.1461035227
157	0.1458859993
158	0.1456331854
159	0.1455065422
160	0.1452171579
161	0.145033912
162	0.1447615399
163	0.1445915362
164	0.1442383885
165	0.1440553285
166	0.1438751409
167	0.1434861775
168	0.1433270318
169	0.1430793573
170	0.1426896393
171	0.1424629486
172	0.1421304665
173	0.1419277051
174	0.1418187132
175	0.1415447445
176	0.1413284669
177	0.1410965496
178	0.1409543707
179	0.1407479388
180	0.1404107234
181	0.1401433944
182	0.140035086
183	0.1397736136
184	0.1395670083
185	0.1393512465
186	0.1391556636
187	0.1388245645
188	0.1386074558
189	0.1383420728
190	0.1380912852
191	0.1379471916
192	0.1376623679
193	0.1375227634
194	0.1373694671
195	0.1372300194
196	0.1370763774
197	0.1367434875
198	0.1366407471
199	0.1364760325
200	0.1363436659
201	0.1360212973
202	0.1358061162
203	0.1356267191
204	0.1354042676
205	0.1350176018
206	0.1348838189
207	0.1347629763
208	0.1346265936
209	0.134378984
210	0.1341835282
211	0.1340111393
212	0.1339082159
213	0.1337000071
214	0.133502689
215	0.1332129669
216	0.1331207137
217	0.1329325379
218	0.1327731352
219	0.1326950102
220	0.1325344512
221	0.1323766596
222	0.1322472532
223	0.1319879226
224	0.1318233645
225	0.1316819875
226	0.1314757105
227	0.1311995254
228	0.1310302274
229	0.1308449081
230	0.1306672825
231	0.130549782
232	0.1303010453
233	0.1301788459
234	0.1299754207
235	0.1298742996
236	0.1296567596
237	0.1295966602
238	0.1294731421
239	0.1292634693
240	0.1291495391
241	0.1289938311
242	0.1287785512
243	0.1286204135
244	0.1284363263
245	0.1283031778
246	0.1281331658
247	0.1278848641
248	0.1277745147
249	0.1275926166
250	0.1274675199
251	0.1273082518
252	0.1270954568
253	0.1269022119
254	0.1267221672
255	0.1266395893
256	0.1264029755
257	0.1262196675
258	0.1260705725
259	0.1258452874
260	0.1256866939
261	0.1255620124
262	0.1254654507
263	0.125272402
264	0.1250052963
265	0.1248840436
266	0.1246892311
267	0.1245231808
268	0.1243070375
269	0.1241200162
270	0.1240372469
271	0.1237501412
272	0.1236204047
273	0.1234430845
274	0.1233119088
275	0.123155589
276	0.1230345031
277	0.1228622085
278	0.1227246634
279	0.122546852
280	0.1224676846
281	0.1223431724
282	0.1221710773
283	0.1220737617
284	0.1219982872
285	0.1218586378
286	0.121737451
287	0.1215716378
288	0.1214069936
289	0.1212775231
290	0.1211513072
291	0.1210073245
292	0.1209022709
293	0.1207998207
294	0.1207488713
295	0.1206319773
296	0.120541842
297	0.1204477588
298	0.120356838
299	0.1202457197
300	0.1201184971
301	0.1199802287
302	0.1198588625
303	0.1197423274
304	0.119639779
305	0.1195233544
306	0.1194278378
307	0.1193258532
308	0.1192465205
309	0.1191130236
310	0.1189065887
311	0.1188339416
312	0.1185870133
313	0.1184740741
314	0.1182872555
315	0.118115892
316	0.1179971048
317	0.1179114074
318	0.117840932
319	0.1177589863
320	0.1175835261
321	0.1174229112
322	0.1172772253
323	0.1172004118
324	0.1170485173
325	0.1169840877
326	0.116854116
327	0.1167341419
328	0.1166738679
329	0.1165677021
330	0.1165023497
331	0.1164318503
332	0.1163267179
333	0.1161906688
334	0.1161339517
