iter	Passed	Remaining
399	32270	8067
400	32347	7986
401	32429	7905
402	32510	7825
403	32585	7743
404	32654	7659
405	32735	7579
406	32822	7499
407	32903	7419
408	32989	7339
409	33071	7259
410	33153	7179
411	33225	7096
412	33307	7016
413	33391	6936
414	33475	6856
415	33559	6776
416	33630	6693
417	33710	6613
418	33783	6530
419	33867	6450
420	33928	6366
421	34008	6285
422	34091	6205
423	34178	6126
424	34255	6045
425	34328	5963
426	34407	5882
427	34493	5802
428	34561	5719
429	34617	5635
430	34680	5552
431	34749	5469
432	34818	5387
433	34891	5306
434	34970	5225
435	35053	5145
436	35131	5064
437	35202	4983
438	35279	4902
439	35355	4821
440	35434	4740
441	35508	4659
442	35588	4579
443	35664	4498
444	35731	4416
445	35807	4335
446	35878	4254
447	35962	4174
448	36043	4093
449	36127	4014
450	36200	3933
451	36277	3852
452	36357	3772
453	36437	3691
454	36521	3611
455	36606	3532
456	36690	3452
457	36767	3371
458	36849	3291
459	36928	3211
460	37007	3130
461	37090	3050
462	37173	2970
463	37243	2889
464	37319	2809
465	37404	2729
466	37485	2648
467	37555	2567
468	37639	2487
469	37706	2406
470	37789	2326
471	37860	2245
472	37946	2166
473	38027	2085
474	38100	2005
475	38175	1924
476	38257	1844
477	38336	1764
478	38411	1684
479	38493	1603
480	38577	1523
481	38657	1443
482	38742	1363
483	38829	1283
484	38904	1203
485	38977	1122
486	39058	1042
487	39138	962
488	39208	881
489	39290	801
490	39371	721
491	39451	641
492	39537	561
493	39619	481
494	39687	400
495	39767	320
496	39845	240
497	39927	160
498	40002	80
499	40080	0
